year;country_name;supra_reg;fleet_category;vessel_category;Consumption of fixed capital (euro);Days at sea (day);Energy consumption (litre);Energy costs (euro);Engaged crew (number);FTE national (number);Fishing days (day);GT days at sea (GTday);GT fishing days (GTday);Gross debt (euro);Gross value of landings (euro);Income from leasing out quota (euro);Investments (euro);Lease/rental payments for quota (euro);Number of fishing trips (number);Number of vessels (number);Operating subsidies (euro);Other income (euro);Other non-variable costs (euro);Other variable costs (euro);Personnel costs (euro);Repair & maintenance costs (euro);Subsidies on investments (euro);Total assets (euro);Total hours worked per year (engaged crew) (hour);Total vessel power (kW);Total vessel tonnage (GT);Unpaid labour (number);Value of physical capital (euro);Value of quota and other fishing rights (euro);Value of unpaid labour (euro);kW days at sea (kWday);kW fishing days (kWday);Mean LOA of vessels (metre);Mean age of vessels (year);Maximum days at sea (day)
2008;Belgium;AREA27;ChaD;Cotier;1362295,1653333334;2389,402;5071683,512666667;2490084,3233333332;62,098;39,22866666666666;2219,4700000000003;;418330,6566666666;;11725603,703333331;0,0;8761548,220666667;0,0;535,8666666666667;1,0;77211,238;527216,7173333333;1249337,1286666666;1590550,394;4067703,222666667;1410397,2646666665;;;;221,0;21,0;;10928134,483333332;0,0;244572,19733333334;;1319747,0839999998;11,78;1,0;201,17346666666668
2008;Belgium;AREA27;ChaD;Hauturier;5240169,348;13885,669333333333;24899248,042666666;12570479,820666667;315,39666666666665;197,714;16424,808;;1478895,6646666666;;39604043,008;0,0;14894023,376666669;0,0;5878,133333333333;42,0;680122,4026666667;1845580,6153333334;4429707,864;6027729,193333333;16033611,202666666;4234426,529333333;;;;8996,0;3206,0;;36260650,42666666;0,0;1005553,7153333334;;4379649,782;20,773333333333333;24,666666666666668;220,0
2008;Belgium;AREA27;ChaD;Industriel;7428175,0;11314,0;47074965,0;27264623,0;306,0;247,71;10932,58;;3315215,0;;59228092,800000004;0,0;2527754,0;0,0;1442,0;52,0;1033112,0;1586373,0;4518373,0;8405414,0;17992625,0;3732229,0;;;;50050,0;15415,0;;38214425,0;0,0;2441713,0;;10412034,0;33,085;22,5;259,0
2008;Belgium;AREA27;Dra;Hauturier;334778,4457142857;1027,5;481103,14285714284;252819,14357142855;21,142857142857142;16,13357142857143;934,4285714285714;;77297,21428571429;;2492213,1049999995;0,0;622614,666923077;0,0;433,57142857142856;3,0;37792,88230769231;175289,7514285714;275462,3028571429;316547,8442857143;676285,3914285714;212065,26071428572;;;;1303,0;163,0;;3526354,035;0,0;45173,42857142857;;415887,2857142857;17,1;12,0;159,0
2008;Belgium;AREA27;INACTIVE;Hauturier;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;442,0;152,0;;0,0;0,0;0,0;;0,0;22,59;33,0;
2008;Belgium;AREA27;INACTIVE;Industriel;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;929,0;246,0;;0,0;0,0;0,0;;0,0;32,5;25,0;
2008;Bulgaria;MBS;ChaP;Cotier;2223,1819;271,0;8891,0;7379,53;33,0;9,82;271,0;307,37;307,37;0,0;38934,93;0,0;9918,04;0,0;271,0;22,0;255,6467;13804,880799999999;3472,0259;4285,9659;9373,6845;5377,6482;0,0;0,0;3,0;271,35;34,92;0,0;152268,0;0,0;5136,771900000001;2234,3599999999997;2234,3599999999997;7,0566666666666675;15,480000000000002;17,3
2008;Bulgaria;MBS;ChaP;Hauturier;23702,5206;631,0;185198,0;72227,22;27,0;21,82;631,0;32985,82;32985,82;0,0;471845,70999999996;0,0;83391,53;0,0;631,0;11,0;3067,752;81956,5105;11825,0358;107757,8136;108312,6531;65227,697100000005;0,0;0,0;2,0;2253,5299999999997;408,03999999999996;0,0;1505042,2;0,0;25128,932800000002;129886,59;129886,59;18,315;23,810000000000002;130,67
2008;Bulgaria;MBS;ChaP;Industriel;23566,329;1491,0;505457,0;197128,23;45,0;41,8;1491,0;185329,6;185329,6;0,0;1912351,47;0,0;769359,21;0,0;1491,0;11,0;0,0;0,0;13848,0566;186864,0;192111,0;69572,5009;0,0;0,0;1,0;3082,85;1469,1;0,0;2850693,68;0,0;393,6947;364361,35;364361,35;26,6;25,0;135,6
2008;Bulgaria;MBS;Dor;Cotier;72813,5502;2278,0;102928,0;85430,24;429,0;114,89;2278,0;3888,82;3888,82;0,0;392660,27400000003;0,0;1300717,7499999998;0,0;2278,0;372,0;8296,194300000001;658349,1443;42755,5541;78714,218;421849,48;63208,8261;0,0;0,0;8,0;7271,860000000001;625,7;0,0;1672431,47;0,0;159905,1128;46251,630000000005;46251,630000000005;6,2975;15,129999999999999;28,5
